"state_abbrev,""state"",""municipality"",""geocode"",""urb2000"",""rur2000"",""tot2000"",""prop_urb2000"",""prop_rur2000"",""urb2010"",""rur2010"",""tot2010"",""prop_urb2010"",""prop_rur2010"",""pop_estimated2006"",""pop_estimated2017"",""urb2006e"",""rur2006e"",""urb2017e"",""rur2017e"""
"AM,""Amazonas"",""Autazes"",1300300,10150,14195,24345,0.416923392893818,0.583076607106182,13893,18242,32135,0.432332347907266,0.567667652092734,29534,38454,12768.5035630932,16765.4964369068,16624.908106426,21829.091893574"
"AM,""Amazonas"",""Barcelos"",1300409,7954,16243,24197,0.328718436169773,0.671281563830227,11157,14561,25718,0.433820670347616,0.566179329652383,33633,27743,14590.6906058014,19042.3093941986,12035.4868574539,15707.5131425461"
"AM,""Amazonas"",""Barreirinha"",1300508,9248,13331,22579,0.409584126843527,0.590415873156473,12418,14937,27355,0.453957229025772,0.546042770974228,27069,31542,12288.1682324986,14780.8317675014,14318.7189179309,17223.2810820691"
"AM,""Amazonas"",""Benjamin Constant"",1300607,14171,9048,23219,0.610319135191007,0.389680864808993,20138,13273,33411,0.60273562599144,0.39726437400856,26737,41329,16115.3424321331,10621.6575678669,24910.4606866002,16418.5393133998"
"AM,""Amazonas"",""Beruri"",1300631,4959,6079,11038,0.449266171407864,0.550733828592136,7778,7708,15486,0.502260105902105,0.497739894097895,13620,18978,6840.78264238667,6779.21735761333,9531.89228981015,9446.10771018985"
"AM,""Amazonas"",""Boa Vista do Ramos"",1300680,5017,5465,10482,0.478630032436558,0.521369967563442,7550,7429,14979,0.504038987916416,0.495961012083584,12617,18483,6359.45991054142,6257.54008945858,9316.15261365912,9166.84738634088"
"AM,""Amazonas"",""Boca do Acre"",1300706,14614,12345,26959,0.542082421454802,0.457917578545198,19348,11284,30632,0.631627056672761,0.368372943327239,28480,34176,17988.7385740402,10491.2614259598,21586.4862888483,12589.5137111517"
"AM,""Amazonas"",""Borba"",1300805,11246,17373,28619,0.392955728711695,0.607044271288305,14434,20527,34961,0.412860044049083,0.587139955950917,36793,40464,15190.3596006979,21602.6403993021,16705.9688224021,23758.0311775979"
"AM,""Amazonas"",""Caapiranga"",1300839,3115,5688,8803,0.353856639781893,0.646143360218107,5140,5835,10975,0.468337129840547,0.531662870159453,10215,12820,4784.06378132118,5430.93621867882,6004.08200455581,6815.91799544419"
"AM,""Amazonas"",""Canutama"",1300904,5439,5298,10737,0.50656607991059,0.49343392008941,6682,6056,12738,0.524572146333804,0.475427853666196,9723,15490,5100.41497880358,4622.58502119642,8125.62254671063,7364.37745328937"
"AM,""Amazonas"",""Carauari"",1301001,16876,6545,23421,0.720549933820076,0.279450066179924,19744,6030,25774,0.766043299449057,0.233956700550943,26377,28337,20205.9241095678,6171.07589043222,21707.3689764879,6629.63102351207"
"AM,""Amazonas"",""Careiro"",1301100,5877,21677,27554,0.213290266386006,0.786709733613994,9437,23297,32734,0.288293517443637,0.711706482556363,24499,37399,7062.90288385165,17436.0971161483,10781.8892588746,26617.1107411254"
"AM,""Amazonas"",""Careiro da Várzea"",1301159,806,16461,17267,0.0466786355475763,0.953321364452424,1000,22930,23930,0.0417885499373172,0.958211450062683,16626,29190,694.776431257835,15931.2235687422,1219.80777267029,27970.1922273297"
"AM,""Amazonas"",""Coari"",1301209,39504,27592,67096,0.588768331942292,0.411231668057708,49651,26314,75965,0.653603633252156,0.346396366747844,87468,84762,57169.4025932996,30298.5974067004,55400.7511617192,29361.2488382808"
"AM,""Amazonas"",""Codajás"",1301308,11289,6218,17507,0.644827783172445,0.355172216827555,15806,7400,23206,0.681116952512281,0.318883047487719,20407,27817,13899.5536499181,6507.44635008187,18946.6302680341,8870.36973196587"
"AM,""Amazonas"",""Eirunepé"",1301407,16781,9293,26074,0.643591317020787,0.356408682979213,22166,8499,30665,0.722843632806131,0.277156367193869,30125,34888,21775.6644382847,8349.33556171531,25218.5686613403,9669.43133865971"
"AM,""Amazonas"",""Envira"",1301506,6745,12315,19060,0.353882476390346,0.646117523609654,10552,5786,16338,0.645856285959114,0.354143714040886,13746,19492,8877.94050679398,4868.05949320602,12589.030725915,6902.96927408496"
"AM,""Amazonas"",""Fonte Boa"",1301605,11633,19876,31509,0.369196102700816,0.630803897299184,15115,7702,22817,0.662444668448964,0.337555331551037,39144,19669,25930.7341017662,13213.2658982338,13029.6241837227,6639.37581627734"
