"state_abbrev,""state"",""municipality"",""geocode"",""period"",""zone"",""disease"",""cases"",""inc"""
"PA,""Pará"",""Bagre"",1501105,""2004-2008"",""rural"",""chagas"",8,21.2533901632635"
"PA,""Pará"",""Baião"",1501204,""2004-2008"",""rural"",""chagas"",2,3.67686595956582"
"PA,""Pará"",""Bannach"",1501253,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Barcarena"",1501303,""2004-2008"",""rural"",""chagas"",11,4.54352805614335"
"PA,""Pará"",""Belém"",1501402,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Belterra"",1501451,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Benevides"",1501501,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Bom Jesus do Tocantins"",1501576,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Bonito"",1501600,""2004-2008"",""rural"",""chagas"",1,2.58388904799385"
"PA,""Pará"",""Bragança"",1501709,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Brasil Novo"",1501725,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Brejo Grande do Araguaia"",1501758,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Breu Branco"",1501782,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Breves"",1501808,""2004-2008"",""rural"",""chagas"",11,5.1256379950549"
"PA,""Pará"",""Bujaru"",1501907,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Cachoeira do Arari"",1502004,""2004-2008"",""rural"",""chagas"",11,19.4619205174069"
"PA,""Pará"",""Cachoeira do Piriá"",1501956,""2004-2008"",""rural"",""chagas"",1,1.21781595771514"
"PA,""Pará"",""Cametá"",1502103,""2004-2008"",""rural"",""chagas"",5,1.66301604272576"
"PA,""Pará"",""Canaã dos Carajás"",1502152,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Capanema"",1502202,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Capitão Poço"",1502301,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Castanhal"",1502400,""2004-2008"",""rural"",""chagas"",5,5.52670417025405"
"PA,""Pará"",""Chaves"",1502509,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Colares"",1502608,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Conceição do Araguaia"",1502707,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Concórdia do Pará"",1502756,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Cumaru do Norte"",1502764,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Curionópolis"",1502772,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Curralinho"",1502806,""2004-2008"",""rural"",""chagas"",7,9.62327340250975"
"PA,""Pará"",""Curuá"",1502855,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Curuçá"",1502905,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Dom Eliseu"",1502939,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Eldorado do Carajás"",1502954,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Faro"",1503002,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Floresta do Araguaia"",1503044,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Garrafão do Norte"",1503077,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Goianésia do Pará"",1503093,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Gurupá"",1503101,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Igarapé-Açu"",1503200,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Igarapé-Miri"",1503309,""2004-2008"",""rural"",""chagas"",1,0.601801588599519"
"PA,""Pará"",""Inhangapi"",1503408,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Ipixuna do Pará"",1503457,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Irituia"",1503507,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Itaituba"",1503606,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Itupiranga"",1503705,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Jacareacanga"",1503754,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Jacundá"",1503804,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Juruti"",1503903,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Limoeiro do Ajuru"",1504000,""2004-2008"",""rural"",""chagas"",0,0"
"PA,""Pará"",""Mãe do Rio"",1504059,""2004-2008"",""rural"",""chagas"",0,0"
