"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"AM,""Amazonas"",""Barcelos"",1300409,2000,""rural"",0.407835083,0.914868106,0.458378581,0.419355944,0.066477412,0.343466629,0.271321787,0.318734172,1526,1668"
"AM,""Amazonas"",""Barreirinha"",1300508,2000,""rural"",0.476162244,0.957475083,0.519903506,0.497794653,0.124135564,0.256502339,0.272249695,0.347112402,1441,1505"
"AM,""Amazonas"",""Benjamin Constant"",1300607,2000,""rural"",0.446950424,0.955097087,0.480519756,0.458943019,0.097839842,0.305639327,0.250643766,0.345877064,787,824"
"AM,""Amazonas"",""Beruri"",1300631,2000,""rural"",0.515199615,0.98828125,0.556269528,0.549750744,0.157031393,0.28943041,0.233719962,0.319818235,1265,1280"
"AM,""Amazonas"",""Boa Vista do Ramos"",1300680,2000,""rural"",0.503230438,1,0.513220459,0.513220459,0.030309695,0.282649933,0.259385009,0.427655363,1350,1350"
"AM,""Amazonas"",""Boca do Acre"",1300706,2000,""rural"",0.482067511,0.978559177,0.522851717,0.511641346,0.12446071,0.309126321,0.22395744,0.34245553,1141,1166"
"AM,""Amazonas"",""Borba"",1300805,2000,""rural"",0.461006609,0.98583878,0.483186004,0.4763435,0.044879369,0.328067233,0.278137744,0.348915653,1810,1836"
"AM,""Amazonas"",""Caapiranga"",1300839,2000,""rural"",0.456457243,0.96570899,0.502428937,0.485200141,0.16570176,0.263913081,0.228667064,0.341718096,1042,1079"
"AM,""Amazonas"",""Canutama"",1300904,2000,""rural"",0.452256944,0.992063492,0.480571429,0.47675737,0.026530916,0.335017836,0.287306778,0.351144471,1000,1008"
"AM,""Amazonas"",""Carauari"",1301001,2000,""rural"",0.494832041,0.951923077,0.546193225,0.519933935,0.173046076,0.288189967,0.213807202,0.324956754,693,728"
"AM,""Amazonas"",""Careiro"",1301100,2000,""rural"",0.44223102,0.948968743,0.478409782,0.45399593,0.062408002,0.327964004,0.292084839,0.317543155,4463,4703"
"AM,""Amazonas"",""Careiro da Várzea"",1301159,2000,""rural"",0.403807456,0.901234568,0.448435324,0.404145415,0.089372418,0.301279304,0.295450882,0.313897396,2701,2997"
"AM,""Amazonas"",""Coari"",1301209,2000,""rural"",0.465825123,0.989530686,0.48848439,0.483370294,0.056014638,0.346730612,0.24742466,0.349830089,2741,2770"
"AM,""Amazonas"",""Codajás"",1301308,2000,""rural"",0.517846968,0.951020408,0.557333606,0.530035633,0.161714195,0.309524392,0.219835963,0.30892545,699,735"
